Problem_Size,Method,Mean_Time,Std_Time,N_Samples
5,nominal,0.0043302906884087455,0.000976112501404703,27
5,scenario,0.15560648176405165,0.002747791009985255,27
5,budgeted,0.15598411030239528,0.0032908774648272663,18
5,drpg,0.03884074091911316,0.031140275301430653,24
10,nominal,0.012831343544854058,0.001364348410043926,27
10,scenario,0.3774860523365162,0.01714125200085271,27
10,budgeted,0.3820314539803399,0.02822264305013221,18
10,drpg,0.07707926079078957,0.02182222303362062,27
20,nominal,0.023626495290685584,0.003035384226095368,27
20,scenario,0.6094306751533791,0.03294349046027401,27
20,budgeted,0.6089468664593167,0.03385724178574922,18
20,drpg,0.1294582861441153,0.03708399390825491,27
